long,lat,code,site_number
-95.656341,31.338513,TX,8065350
-94.850762,30.425207,TX,8066500
-98.564484,31.217945,TX,8147000
-97.319437,30.104662,TX,8159200
-96.103848,29.309137,TX,8162000
-96.171075,28.928038,TX,8162600
-97.454685,25.877107,TX,8475000
-106.422534,40.20248400000001,CO,9041090
-106.413921,40.108596,CO,9041400
-106.440032,40.036652,CO,9058000
-106.44898,39.609403,CO,9066510
-107.330717,39.543557,CO,9085000
-108.266195,39.23914600000001,CO,9095500
-108.267861,39.183314,CO,9105000
-106.8476108,38.66397360000001,CO,9112500
-108.450645,38.983316,CO,9152500
-109.027055,39.13276,CO,9163500
-108.5048112,37.4709864,CO,9166500
-108.886697,38.310247,CO,9169500
-108.833435,38.356934,CO,9171100
-109.293449,38.810541,UT,9180500
-106.832271,40.483588,CO,9239500
-107.614234,40.480805,CO,9247600
-108.029804,40.502747,CO,9251000
-108.23592,40.077471,CO,9306222
-108.401205,40.168581,CO,9306255
-110.151248,38.986083,UT,9315000
-107.543669,37.477501,CO,9352900
-107.8685464,37.2982793,CO,9361500
-108.661207,37.312772,CO,9371492
-108.700653,37.32666,CO,9371520
-109.015666,37.32416,CO,9372000
-111.588216,36.86471,AZ,9380000
-113.92441,36.891644,AZ,9415000
-109.511186,32.868396999999995,AZ,9448500
-110.921504,33.619495,AZ,9498500
-111.576524,33.552823,AZ,9502000
-117.320602,34.573049,CA,10261500
-121.266329,37.676041,CA,11303500
-121.50301,38.455464,CA,11447650
-117.726589,45.619867,OR,13331500
-123.042874,44.944286,OR,14191000
-123.124274,45.474837,OR,14203500
-122.754819,45.403452,OR,14206950
-72.88676778,41.7559325,CT,1188090
-74.44138889,39.62305556,NJ,1410150
-74.62778,39.95611,NJ,1466900
-75.78580556,38.99719444,MD,1491000
-76.44077426,41.76535278,PA,1531500
-75.885,41.2492,PA,1536500
-76.61912225,40.95814218,PA,1540500
-78.186944,40.471944,PA,1556000
-77.1686,40.3228,PA,1568000
-76.53079917,40.0545413,PA,1576000
-76.36773881,39.94648862,PA,1576754
-77.22831581,38.81289066,VA,1654000
-77.33220177,37.76764189,VA,1673000
-77.16303070000002,37.887916,VA,1674500
-77.47526301,37.2251505,VA,2041650
-78.87888889,36.18277778,NC,2085500
-81.44646,27.70864000000001,FL,2269520
-81.38757240000002,27.53225706,FL,2270000
-81.39340621,27.37420781,FL,2271500
-81.78202661,27.75141931,FL,2294898
-81.78452667,27.05199986,FL,2298123
-82.3525925,27.67114344,FL,2300500
-82.10008689,27.8839148,FL,2301000
-82.11758774,27.79669525,FL,2301300
-82.21120077,27.872248,FL,2301500
-82.66648818,28.21417784,FL,2310000
-83.311131,30.635692,FL,2319000
-85.898333,30.451111,FL,2366500
-88.15614871,38.09226857,IL,3381500
-86.10781414,42.65169306,MI,4108660
-81.62984781,41.39533087,OH,4208000
-90.97753611,39.00880278,MO,5514500
-87.82337192,41.0089215,IL,5526000
-87.52143063,41.57725759,IN,5536195
-87.60782209,41.56836818,IL,5536275
-88.1789607,41.91086169,IL,5539900
-88.1636111,41.7258333,IL,5540275
-88.25563305,42.02613785,IL,5550500
-89.417402,41.025072,IL,5558300
-89.82926312,38.71671451,IL,5594450
-108.181497,44.758566,WY,6279500
-105.159143,42.652496,WY,6652000
-96.540783,41.560397,NE,6800000
